category,Users,Volume,Transactions
Thu Jul 14 2022,32999,6285886,411775
Wed Jul 13 2022,32375,6776166,385505
Tue Jul 12 2022,31692,6370611,332271
Mon Jul 11 2022,31566,5826049,387559
Sun Jul 10 2022,31020,6385049,416955
Sat Jul 09 2022,28022,5576232,469157
Fri Jul 08 2022,34284,7773695,531408
Thu Jul 07 2022,32998,6932254,597011
Wed Jul 06 2022,33614,7200198,500829
Tue Jul 05 2022,32427,6808706,474647
Mon Jul 04 2022,28666,5540201,422661
Sun Jul 03 2022,30524,5698605,414322
Sat Jul 02 2022,30350,6451136,452282
Fri Jul 01 2022,40156,8808031,474388
Thu Jun 30 2022,37614,8174354,496194
Wed Jun 29 2022,36430,8588048,539839
Tue Jun 28 2022,41500,8737383,517705
Mon Jun 27 2022,34964,6910573,481592
Sun Jun 26 2022,32758,7246407,451527
Sat Jun 25 2022,40354,10115768,531473
Fri Jun 24 2022,39020,9750354,557476
Thu Jun 23 2022,40132,9278429,512464
Wed Jun 22 2022,41360,11022159,536522
Tue Jun 21 2022,47990,11283302,550645
Mon Jun 20 2022,46740,12063404,562046
Sun Jun 19 2022,45540,14084896,577248
Sat Jun 18 2022,37331,9413678,524000
Fri Jun 17 2022,38847,11479171,310491
Thu Jun 16 2022,35357,9493569,309261
Wed Jun 15 2022,34209,8173892,350400
Tue Jun 14 2022,39579,9835453,260454
Mon Jun 13 2022,39937,15276987,406157
Sun Jun 12 2022,38475,8161099,320733
Sat Jun 11 2022,40315,9139600,492084
Fri Jun 10 2022,44232,11630712,513258
Thu Jun 09 2022,51804,16022917,523232
Wed Jun 08 2022,49634,16535586,576145
Tue Jun 07 2022,50895,20943494,491944
Mon Jun 06 2022,49868,13483766,436748
Sun Jun 05 2022,51287,16002052,538354
Sat Jun 04 2022,37998,10789160,461619
Fri Jun 03 2022,43261,15195277,490124
Thu Jun 02 2022,43240,15424451,436190
Wed Jun 01 2022,36558,11331929,361424
Tue May 31 2022,51195,17345714,480032
Mon May 30 2022,47157,18858720,525577
Sun May 29 2022,46105,19723155,454164
Sat May 28 2022,39704,14740600,388257
Fri May 27 2022,44913,17875174,353104
Thu May 26 2022,42824,23945358,389596
Wed May 25 2022,42013,30303931,292964
Tue May 24 2022,50545,47808999,305110
Mon May 23 2022,45049,18022561,343169
Sun May 22 2022,45534,18413143,301237
Sat May 21 2022,42415,21829037,328726
Fri May 20 2022,42298,17928827,317810
Thu May 19 2022,49363,23477940,349392
Wed May 18 2022,49929,29983451,400206
Tue May 17 2022,49304,30278864,368983
Mon May 16 2022,45099,47220085,346007
Sun May 15 2022,31624,26246961,222876
Sat May 14 2022,30132,21907996,214411
Fri May 13 2022,30593,14667649,196883
Thu May 12 2022,34442,20180910,222043
Wed May 11 2022,34488,26266729,255713
Tue May 10 2022,39254,25749474,294086
Mon May 09 2022,44992,34861583,335131
Sun May 08 2022,42648,35282993,349403
Sat May 07 2022,46002,52829631,355285
Fri May 06 2022,47377,46761641,432364
Thu May 05 2022,41930,49538093,354487
Wed May 04 2022,42615,64893658,327402
Tue May 03 2022,40454,35155777,274573
Mon May 02 2022,38129,43673376,285897
Sun May 01 2022,30138,29573710,211586
Sat Apr 30 2022,34154,40657551,236178
Fri Apr 29 2022,42858,77500557,312294
Thu Apr 28 2022,44665,53415670,338250
Wed Apr 27 2022,52150,75464958,410758
Tue Apr 26 2022,53173,54330126,364820
Mon Apr 25 2022,39915,34500440,320146
Sun Apr 24 2022,34970,27804026,292628
Sat Apr 23 2022,34874,30628436,273957
Fri Apr 22 2022,43964,34904609,336502
Thu Apr 21 2022,35850,23926267,289115
Wed Apr 20 2022,40386,31316531,329776
Tue Apr 19 2022,42799,29967300,308471
Mon Apr 18 2022,38080,28130343,321833
Sun Apr 17 2022,36079,25927292,279334
Sat Apr 16 2022,36325,25533755,330929
Fri Apr 15 2022,36887,31608623,309843
Thu Apr 14 2022,37442,32978560,315111
Wed Apr 13 2022,37271,30429626,368286
Tue Apr 12 2022,41378,28315172,306162
Mon Apr 11 2022,39071,41980120,325066
Sun Apr 10 2022,32795,32316947,265378
Sat Apr 09 2022,31477,24063519,233243
Fri Apr 08 2022,33310,27848264,247798
Thu Apr 07 2022,36438,28675835,273230
Wed Apr 06 2022,33323,36721409,244507
Tue Apr 05 2022,34999,38274717,293205
Mon Apr 04 2022,33343,29154360,285541
Sun Apr 03 2022,32826,28249814,342101
Sat Apr 02 2022,28812,28519334,259779
Fri Apr 01 2022,38539,45273865,340564
Thu Mar 31 2022,38355,33923059,322117
Wed Mar 30 2022,40341,35623799,364884
Tue Mar 29 2022,40094,39373469,374247
Mon Mar 28 2022,36090,24309539,298466
Sun Mar 27 2022,30925,25499687,192856
Sat Mar 26 2022,30936,22634971,167133
Fri Mar 25 2022,32635,25931261,169610
Thu Mar 24 2022,35173,23481580,172003
Wed Mar 23 2022,32634,23519939,186638
Tue Mar 22 2022,31955,20867939,186528
Mon Mar 21 2022,33365,18152044,190147
Sun Mar 20 2022,28112,15924867,171700
Sat Mar 19 2022,29027,15207734,181159
Fri Mar 18 2022,28701,13091193,169574
Thu Mar 17 2022,31553,13916173,181531
Wed Mar 16 2022,31195,14185811,169943
Tue Mar 15 2022,31789,14392660,163846
Mon Mar 14 2022,34753,16067152,193248
